Em casa,Visitante,Classe
Bologna,Torino,1.0
Monza,Juventus,2.0
Genoa,Empoli,0.0
Lazio,Cagliari,1.0
Milan,Frosinone,1.0
Lecce,Bologna,0.0
Udinese,Hellas Verona,0.0
Fiorentina,Salernitana,1.0
Sassuolo,Roma,2.0
Napoli,Inter,2.0
Torino,Atalanta,1.0
Juventus,Napoli,1.0
Hellas Verona,Lazio,0.0
Atalanta,Milan,1.0
Inter,Udinese,1.0
Frosinone,Torino,0.0
Monza,Genoa,1.0
Salernitana,Bologna,2.0
Roma,Fiorentina,0.0
Empoli,Lecce,0.0
Cagliari,Sassuolo,1.0
Genoa,Juventus,0.0
Lecce,Frosinone,1.0
Napoli,Cagliari,1.0
Torino,Empoli,1.0
Milan,Monza,1.0
Fiorentina,Hellas Verona,1.0
Udinese,Sassuolo,0.0
Bologna,Roma,1.0
Lazio,Inter,2.0
Atalanta,Salernitana,1.0
Sassuolo,Genoa,2.0
Empoli,Lazio,2.0
Monza,Fiorentina,2.0
Salernitana,Milan,0.0
Frosinone,Juventus,2.0
Torino,Udinese,0.0
Bologna,Atalanta,1.0
Inter,Lecce,1.0
Hellas Verona,Cagliari,1.0
Roma,Napoli,1.0
Napoli,Monza,0.0
Fiorentina,Torino,1.0
Lazio,Frosinone,1.0
Genoa,Inter,0.0
Atalanta,Lecce,1.0
Udinese,Bologna,1.0
Cagliari,Empoli,0.0
Milan,Sassuolo,1.0
Hellas Verona,Salernitana,2.0
Juventus,Roma,1.0
Bologna,Genoa,0.0
Inter,Hellas Verona,1.0
Frosinone,Monza,2.0
Lecce,Cagliari,0.0
Sassuolo,Fiorentina,1.0
Empoli,Milan,2.0
Udinese,Lazio,2.0
Torino,Napoli,1.0
Salernitana,Juventus,2.0
Roma,Atalanta,0.0
Napoli,Salernitana,1.0
Genoa,Torino,0.0
Hellas Verona,Empoli,1.0
Monza,Inter,2.0
Lazio,Lecce,1.0
Cagliari,Bologna,1.0
Fiorentina,Udinese,0.0
Milan,Roma,1.0
Atalanta,Frosinone,1.0
Juventus,Sassuolo,1.0
Roma,Hellas Verona,1.0
Udinese,Milan,2.0
Frosinone,Cagliari,1.0
Empoli,Monza,1.0
Salernitana,Genoa,2.0
Lecce,Juventus,2.0
Cagliari,Torino,2.0
Atalanta,Udinese,1.0
Juventus,Empoli,0.0
Milan,Bologna,0.0
Genoa,Lecce,1.0
Monza,Sassuolo,1.0
Hellas Verona,Frosinone,0.0
Lazio,Napoli,0.0
Fiorentina,Inter,2.0
Salernitana,Roma,2.0
Lecce,Fiorentina,1.0
Udinese,Monza,0.0
Empoli,Genoa,0.0
Frosinone,Milan,2.0
Bologna,Sassuolo,1.0
Torino,Salernitana,0.0
Napoli,Hellas Verona,1.0
Atalanta,Lazio,1.0
Inter,Juventus,1.0
Roma,Cagliari,1.0
Salernitana,Empoli,2.0
Cagliari,Lazio,2.0
Roma,Inter,2.0
Sassuolo,Torino,0.0
Fiorentina,Frosinone,1.0
Bologna,Lecce,1.0
Monza,Hellas Verona,0.0
Genoa,Atalanta,2.0
Milan,Napoli,1.0
Juventus,Udinese,2.0
Bologna,Fiorentina,1.0
Torino,Lecce,1.0
Inter,Salernitana,1.0
Napoli,Genoa,0.0
Hellas Verona,Juventus,0.0
Atalanta,Sassuolo,1.0
Lazio,Bologna,2.0
Empoli,Fiorentina,0.0
Udinese,Cagliari,0.0
Frosinone,Roma,2.0
Monza,Milan,1.0
Torino,Lazio,2.0
Bologna,Hellas Verona,1.0
Sassuolo,Empoli,2.0
Salernitana,Monza,2.0
Genoa,Udinese,1.0
Juventus,Frosinone,1.0
Cagliari,Napoli,0.0
Lecce,Inter,2.0
Milan,Atalanta,0.0
Roma,Torino,1.0
Fiorentina,Lazio,1.0
Sassuolo,Napoli,2.0
Inter,Atalanta,1.0
Lazio,Milan,2.0
Udinese,Salernitana,0.0
Monza,Roma,2.0
Torino,Fiorentina,0.0
Hellas Verona,Sassuolo,1.0
Frosinone,Lecce,0.0
Empoli,Cagliari,2.0
Atalanta,Bologna,2.0
Napoli,Juventus,1.0
Inter,Genoa,1.0
Napoli,Torino,0.0
Cagliari,Salernitana,1.0
Sassuolo,Frosinone,1.0
Bologna,Inter,2.0
Genoa,Monza,2.0
Lecce,Hellas Verona,2.0
Milan,Empoli,1.0
Juventus,Atalanta,0.0
Fiorentina,Roma,0.0
Lazio,Udinese,2.0
Empoli,Bologna,2.0
Udinese,Torino,2.0
Monza,Cagliari,1.0
Salernitana,Lecce,2.0
Frosinone,Lazio,2.0
Juventus,Genoa,0.0
Hellas Verona,Milan,2.0
Roma,Sassuolo,1.0
Inter,Napoli,0.0
Napoli,Atalanta,2.0
Genoa,Frosinone,0.0
Torino,Monza,1.0
Lazio,Juventus,1.0
Fiorentina,Milan,2.0
Bologna,Salernitana,1.0
Sassuolo,Udinese,0.0
Cagliari,Hellas Verona,0.0
Lecce,Roma,0.0
Inter,Empoli,1.0
Salernitana,Sassuolo,0.0
Milan,Lecce,1.0
Roma,Lazio,1.0
Empoli,Torino,1.0
Frosinone,Bologna,0.0
Monza,Napoli,2.0
Cagliari,Atalanta,1.0
Hellas Verona,Genoa,2.0
Juventus,Fiorentina,1.0
Udinese,Inter,2.0
Lazio,Salernitana,1.0
Lecce,Empoli,1.0
Torino,Juventus,0.0
Bologna,Monza,0.0
Napoli,Frosinone,0.0
Sassuolo,Milan,0.0
Inter,Cagliari,0.0
Fiorentina,Genoa,0.0
Atalanta,Hellas Verona,0.0
Genoa,Lazio,2.0
Cagliari,Juventus,0.0
Empoli,Napoli,1.0
Hellas Verona,Udinese,1.0
Sassuolo,Lecce,2.0
Torino,Frosinone,0.0
Salernitana,Fiorentina,2.0
Monza,Atalanta,2.0
Roma,Bologna,2.0
Milan,Inter,2.0
Udinese,Roma,2.0
Frosinone,Salernitana,1.0
Lecce,Monza,0.0
Juventus,Milan,0.0
Lazio,Hellas Verona,1.0
Inter,Torino,1.0
Bologna,Udinese,0.0
Atalanta,Empoli,1.0
Napoli,Roma,0.0
Fiorentina,Sassuolo,1.0
Genoa,Cagliari,1.0
Torino,Bologna,0.0
Monza,Lazio,0.0
Sassuolo,Inter,1.0
Cagliari,Lecce,0.0
Empoli,Frosinone,0.0
Hellas Verona,Fiorentina,1.0
Milan,Genoa,0.0
Roma,Juventus,0.0
Salernitana,Atalanta,2.0
Udinese,Napoli,0.0
Frosinone,Inter,2.0
Napoli,Bologna,2.0
Milan,Cagliari,1.0
Lazio,Empoli,1.0
Genoa,Sassuolo,1.0
Hellas Verona,Torino,2.0
Juventus,Salernitana,0.0
Atalanta,Roma,1.0
Lecce,Udinese,2.0
Fiorentina,Monza,1.0
Fiorentina,Napoli,0.0
Lecce,Atalanta,2.0
Torino,Milan,1.0
Sassuolo,Cagliari,2.0
Monza,Frosinone,2.0
Udinese,Empoli,0.0
Inter,Lazio,0.0
Roma,Genoa,1.0
Salernitana,Hellas Verona,2.0
Bologna,Juventus,0.0
Cagliari,Fiorentina,2.0
Genoa,Bologna,1.0
Juventus,Monza,1.0
Milan,Salernitana,0.0
Atalanta,Torino,1.0
Napoli,Lecce,0.0
Lazio,Sassuolo,0.0
Empoli,Roma,1.0
Frosinone,Udinese,2.0
Hellas Verona,Inter,0.0
Atalanta,Fiorentina,2.0
