Em casa,Visitante,Classe
Venezia,Empoli,0.0
Roma,Cagliari,1.0
Atalanta,Inter,0.0
Milan,Spezia,2.0
Bologna,Napoli,2.0
Fiorentina,Genoa,1.0
Hellas Verona,Bologna,1.0
Genoa,Udinese,0.0
Inter,Venezia,1.0
Lazio,Atalanta,0.0
Cagliari,Fiorentina,0.0
Torino,Sassuolo,0.0
Napoli,Salernitana,1.0
Spezia,Sampdoria,1.0
Empoli,Roma,2.0
Milan,Juventus,0.0
Roma,Genoa,0.0
Inter,Milan,2.0
Fiorentina,Lazio,2.0
Atalanta,Cagliari,2.0
Venezia,Napoli,2.0
Bologna,Empoli,0.0
Sampdoria,Sassuolo,1.0
Udinese,Torino,1.0
Juventus,Hellas Verona,1.0
Salernitana,Spezia,0.0
Lazio,Bologna,1.0
Napoli,Inter,0.0
Torino,Venezia,2.0
Milan,Sampdoria,1.0
Empoli,Cagliari,0.0
Hellas Verona,Udinese,1.0
Genoa,Salernitana,0.0
Sassuolo,Roma,0.0
Atalanta,Juventus,0.0
Spezia,Fiorentina,2.0
Juventus,Torino,0.0
Sampdoria,Empoli,1.0
Roma,Hellas Verona,0.0
Salernitana,Milan,0.0
Fiorentina,Atalanta,1.0
Venezia,Genoa,0.0
Inter,Sassuolo,2.0
Udinese,Lazio,0.0
Cagliari,Napoli,0.0
Bologna,Spezia,1.0
Milan,Udinese,0.0
Genoa,Inter,0.0
Salernitana,Bologna,0.0
Empoli,Juventus,2.0
Sassuolo,Fiorentina,1.0
Torino,Cagliari,2.0
Hellas Verona,Venezia,1.0
Spezia,Roma,2.0
Lazio,Napoli,2.0
Atalanta,Sampdoria,1.0
Inter,Salernitana,1.0
Udinese,Sampdoria,1.0
Roma,Atalanta,1.0
Cagliari,Lazio,2.0
Genoa,Empoli,0.0
Fiorentina,Hellas Verona,0.0
Bologna,Torino,0.0
Venezia,Sassuolo,2.0
Juventus,Spezia,1.0
Napoli,Milan,2.0
Spezia,Cagliari,1.0
Salernitana,Sassuolo,0.0
Sampdoria,Juventus,2.0
Milan,Empoli,1.0
Fiorentina,Bologna,1.0
Hellas Verona,Napoli,2.0
Udinese,Roma,0.0
Atalanta,Genoa,0.0
Torino,Inter,0.0
Lazio,Venezia,1.0
Sassuolo,Spezia,1.0
Genoa,Torino,1.0
Napoli,Udinese,1.0
Inter,Fiorentina,0.0
Cagliari,Milan,2.0
Venezia,Sampdoria,2.0
Juventus,Salernitana,1.0
Empoli,Hellas Verona,0.0
Roma,Lazio,1.0
Bologna,Atalanta,2.0
Spezia,Venezia,1.0
Lazio,Sassuolo,1.0
Salernitana,Torino,2.0
Fiorentina,Empoli,1.0
Atalanta,Napoli,2.0
Udinese,Cagliari,1.0
Sampdoria,Roma,2.0
Juventus,Inter,2.0
Hellas Verona,Genoa,1.0
Milan,Bologna,0.0
Empoli,Spezia,0.0
Inter,Hellas Verona,1.0
Cagliari,Juventus,2.0
Genoa,Lazio,2.0
Sassuolo,Atalanta,1.0
Napoli,Fiorentina,2.0
Venezia,Udinese,2.0
Roma,Salernitana,1.0
Torino,Milan,0.0
Bologna,Sampdoria,1.0
Spezia,Inter,2.0
Milan,Genoa,1.0
Cagliari,Sassuolo,1.0
Udinese,Empoli,1.0
Sampdoria,Salernitana,2.0
Fiorentina,Venezia,1.0
Juventus,Bologna,0.0
Lazio,Torino,0.0
Napoli,Roma,0.0
Atalanta,Hellas Verona,2.0
Udinese,Salernitana,2.0
Torino,Spezia,1.0
Venezia,Atalanta,2.0
Inter,Roma,1.0
Hellas Verona,Sampdoria,0.0
Salernitana,Fiorentina,1.0
Empoli,Napoli,1.0
Bologna,Udinese,0.0
Genoa,Cagliari,1.0
Lazio,Milan,2.0
Sassuolo,Juventus,2.0
Fiorentina,Udinese,2.0
Atalanta,Torino,0.0
Bologna,Inter,1.0
Napoli,Sassuolo,1.0
Cagliari,Hellas Verona,2.0
Sampdoria,Genoa,1.0
Spezia,Lazio,2.0
Juventus,Venezia,1.0
Milan,Fiorentina,1.0
Empoli,Torino,2.0
Udinese,Inter,2.0
Roma,Bologna,0.0
Atalanta,Salernitana,0.0
Salernitana,Venezia,1.0
Inter,Empoli,1.0
Genoa,Juventus,1.0
Torino,Napoli,2.0
Sassuolo,Udinese,0.0
Lazio,Sampdoria,1.0
Spezia,Atalanta,2.0
Venezia,Bologna,1.0
Salernitana,Cagliari,0.0
Hellas Verona,Milan,2.0
Fiorentina,Roma,1.0
Empoli,Salernitana,0.0
Udinese,Spezia,2.0
Hellas Verona,Torino,2.0
Roma,Venezia,0.0
Bologna,Sassuolo,2.0
Napoli,Genoa,1.0
Milan,Atalanta,1.0
Cagliari,Inter,2.0
Sampdoria,Fiorentina,1.0
Juventus,Lazio,0.0
Torino,Roma,2.0
Genoa,Bologna,2.0
Atalanta,Empoli,2.0
Lazio,Hellas Verona,0.0
Fiorentina,Juventus,1.0
Spezia,Napoli,2.0
Sassuolo,Milan,2.0
Inter,Sampdoria,1.0
Venezia,Cagliari,0.0
Salernitana,Udinese,2.0
